gene,ensembl,source,annotation_breast,annotation_io,programs,cell_lineages,program_states,marker_states,top_major,top3_majors,n_programs,pct_expressing,mean_lognorm,mean_counts,top_compartment,mean_Cancer,mean_Epithelial,mean_Immune,mean_Stroma
ABCC11,ENSG00000121270,Breast,Breast cancer,,,,,,Myoepithelial,"Myoepithelial(2.216), Tumor(2.164), Macrophage_Mono(0.118)",0,12.4,0.529,0.702,Epithelial,2.164,2.216,0.07,0.071
ACTA2,ENSG00000107796,Breast+IO,Smooth muscle cells,Stromal Cell,Tumor:myoepithelial; Endothelial:pericyte_mural; CAF/Adipo:myCAF; CAF/Adipo:pericyte_mural,CAF/Adipo; Endothelial; Tumor,myCAF; myoepithelial; pericyte_mural,myoepithelial; myCAF; Pericyte/mural,Myoepithelial,"Myoepithelial(4.005), Pericyte(3.947), Endothelial(3.667)",4,42.8,2.062,1.974,Epithelial,2.88,4.005,1.311,2.705
ACTG2,ENSG00000163017,Breast,Breast myoepithelial cells,,Tumor:myoepithelial,Tumor,myoepithelial,myoepithelial,Myoepithelial,"Myoepithelial(3.124), Tumor(2.065), Endothelial(0.958)",1,24.9,1.042,0.666,Epithelial,2.065,3.124,0.791,0.657
ADAM9,ENSG00000168615,Breast,Breast glandular cells,,,,,,Myoepithelial,"Myoepithelial(2.89), Tumor(2.878), Macrophage_Mono(2.454)",0,35.9,1.541,0.982,Epithelial,2.878,2.89,1.02,1.441
ADGRE5,ENSG00000123146,Breast,Dendritic cells,,,,,,Macrophage_Mono,"Macrophage_Mono(1.506), T_NK(1.472), Dendritic(1.425)",0,21.8,0.939,0.331,Immune,0.416,0.382,1.35,0.66
ADH1B,ENSG00000196616,Breast,Adipocytes,,CAF/Adipo:adipocyte,CAF/Adipo,adipocyte,adipocyte,Adipocyte,"Adipocyte(1.764), CAF_Fibroblast(0.439), Pericyte(0.343)",1,6.4,0.277,0.116,Stroma,0.152,0.158,0.189,0.528
ADIPOQ,ENSG00000181092,Breast,Adipocytes,,CAF/Adipo:adipocyte,CAF/Adipo,adipocyte,adipocyte,Adipocyte,"Adipocyte(0.938), Macrophage_Mono(0.088), Myoepithelial(0.084)",1,2.1,0.092,0.049,Stroma,0.072,0.084,0.068,0.151
AGR3,ENSG00000173467,Breast,Breast glandular cells,,Tumor:luminal_mature; Tumor:cancer_specific,Tumor,cancer_specific; luminal_mature,,Myoepithelial,"Myoepithelial(1.799), Tumor(1.527), Macrophage_Mono(0.084)",2,9.3,0.383,0.45,Epithelial,1.527,1.799,0.058,0.059
AIF1,ENSG00000204472,Breast+IO,Macrophages,Macrophage,Myeloid/DC:core_macrophage,Myeloid/DC,core_macrophage,,Macrophage_Mono,"Macrophage_Mono(3.142), Dendritic(2.626), T_NK(1.038)",1,22.5,1.011,0.442,Immune,0.503,0.464,1.457,0.665
AKR1C1,ENSG00000187134,Breast,Smooth muscle cells,,,,,,Adipocyte,"Adipocyte(0.704), Myoepithelial(0.585), Tumor(0.569)",0,8.5,0.332,0.185,Epithelial,0.569,0.585,0.171,0.43
AKR1C3,ENSG00000196139,Breast,Endothelial cells,,,,,,Endothelial,"Endothelial(0.509), Tumor(0.355), Myoepithelial(0.345)",0,5.6,0.206,0.08,Cancer,0.355,0.345,0.084,0.303
ALDH1A3,ENSG00000184254,Breast,Breast glandular cells,,Tumor:luminal_progenitor,Tumor,luminal_progenitor,,Tumor,"Tumor(0.719), Adipocyte(0.69), CAF_Fibroblast(0.646)",1,11.0,0.436,0.205,Cancer,0.719,0.497,0.239,0.575
ANGPT2,ENSG00000091879,Breast,Endothelial cells,,Endothelial:tip_sprouting,Endothelial,tip_sprouting,Tip/sprouting,Endothelial,"Endothelial(1.36), Pericyte(0.513), Myoepithelial(0.231)",1,6.3,0.262,0.11,Stroma,0.195,0.231,0.096,0.598
ANKRD28,ENSG00000206560,Breast,B cells,,,,,,Myoepithelial,"Myoepithelial(1.146), Plasma(1.112), Tumor(1.048)",0,18.1,0.699,0.269,Epithelial,1.048,1.146,0.497,0.79
ANKRD29,ENSG00000154065,Breast,Adipocytes,,,,,,Endothelial,"Endothelial(1.398), Pericyte(1.153), Myoepithelial(0.355)",0,7.5,0.307,0.105,Stroma,0.245,0.355,0.154,0.617
ANKRD30A,ENSG00000148513,Breast,Epithelial cells,,Tumor:luminal_mature,Tumor,luminal_mature,,Tumor,"Tumor(2.893), Myoepithelial(2.881), Macrophage_Mono(0.238)",1,16.4,0.77,1.435,Cancer,2.893,2.881,0.164,0.195
APOBEC3A,ENSG00000128383,Breast,B cells,,,,,,Macrophage_Mono,"Macrophage_Mono(0.321), Dendritic(0.186), Myoepithelial(0.172)",0,3.6,0.136,0.047,Epithelial,0.16,0.172,0.15,0.094
APOBEC3B,ENSG00000179750,Breast,Breast cancer,,,,,,B_cell,"B_cell(0.545), Plasma(0.5), T_NK(0.413)",0,8.4,0.322,0.103,Cancer,0.412,0.402,0.39,0.145
APOC1,ENSG00000130208,Breast,Macrophages,,,,,,Macrophage_Mono,"Macrophage_Mono(1.654), Dendritic(0.599), T_NK(0.37)",0,9.5,0.416,0.263,Immune,0.356,0.278,0.56,0.229
AQP1,ENSG00000240583,Breast,Endothelial cells,,Endothelial:capillary,Endothelial,capillary,Capillary,Endothelial,"Endothelial(4.618), Pericyte(4.193), Myoepithelial(1.324)",1,24.5,1.197,1.074,Stroma,0.939,1.324,0.612,2.39
AQP3,ENSG00000165272,Breast,Breast glandular cells,,,,,,Myoepithelial,"Myoepithelial(0.984), Tumor(0.916), Plasma(0.573)",0,10.3,0.399,0.223,Epithelial,0.916,0.984,0.331,0.125
AR,ENSG00000169083,Breast,Breast cancer,,,,,,Myoepithelial,"Myoepithelial(1.52), Tumor(1.423), Adipocyte(0.235)",0,10.8,0.39,0.229,Epithelial,1.423,1.52,0.07,0.151
AREG,ENSG00000109321,IO,,Mast Cell,Tumor:luminal_mature; Mast:effector_activation,Mast; Tumor,effector_activation; luminal_mature,,Myoepithelial,"Myoepithelial(2.108), Tumor(1.858), Mast(0.98)",2,13.6,0.601,0.91,Epithelial,1.858,2.108,0.291,0.17
ARG1,ENSG00000118520,IO,,Myeloid Derived Suppressor Cell,Myeloid/DC:macrophage_M2,Myeloid/DC,macrophage_M2,macrophage_M2,Tumor,"Tumor(0.09), Myoepithelial(0.086), Macrophage_Mono(0.079)",1,1.6,0.059,0.018,Cancer,0.09,0.086,0.053,0.045
AVPR1A,ENSG00000166148,Breast,Smooth muscle cells,,,,,,Endothelial,"Endothelial(0.674), Pericyte(0.66), Adipocyte(0.074)",0,2.9,0.121,0.041,Stroma,0.055,0.073,0.045,0.3
BACE2,ENSG00000182240,Breast,Breast glandular cells,,,,,,Myoepithelial,"Myoepithelial(2.005), Tumor(1.989), Endothelial(1.361)",0,20.9,0.839,0.489,Epithelial,1.989,2.005,0.341,0.827
BANK1,ENSG00000153064,Breast+IO,B cells,B Cell,B/Plasma:pan_B,B/Plasma,pan_B,,B_cell,"B_cell(3.356), Plasma(1.648), Dendritic(0.516)",1,12.5,0.609,0.264,Immune,0.132,0.143,1.103,0.147
BASP1,ENSG00000176788,Breast,Macrophages,,,,,,B_cell,"B_cell(2.18), Dendritic(1.971), Plasma(1.906)",0,29.2,1.306,0.548,Immune,0.568,0.585,1.647,1.318
BCL2,ENSG00000171791,IO,,Apoptosis,Tumor:luminal_mature,Tumor,luminal_mature,,B_cell,"B_cell(1.352), Plasma(1.177), T_NK(1.104)",1,19.7,0.831,0.305,Immune,0.77,0.932,1.038,0.537
C15orf48,ENSG00000166920,Breast,Breast glandular cells,,,,,,Macrophage_Mono,"Macrophage_Mono(0.74), Tumor(0.54), Dendritic(0.469)",0,7.3,0.278,0.133,Cancer,0.54,0.408,0.271,0.101
C1QA,ENSG00000173372,Breast,Macrophages,,Myeloid/DC:core_macrophage,Myeloid/DC,core_macrophage,,Macrophage_Mono,"Macrophage_Mono(2.505), Dendritic(1.02), T_NK(0.527)",1,12.6,0.554,0.226,Immune,0.22,0.19,0.846,0.329
C1QC,ENSG00000159189,Breast,Macrophages,,Myeloid/DC:core_macrophage,Myeloid/DC,core_macrophage,,Macrophage_Mono,"Macrophage_Mono(2.384), Dendritic(0.883), T_NK(0.461)",1,11.8,0.515,0.217,Immune,0.28,0.262,0.764,0.285
C1R,ENSG00000159403,IO,,Tumor;Complement,CAF/Adipo:complement_caf,CAF/Adipo,complement_caf,complement_caf,Adipocyte,"Adipocyte(4.174), CAF_Fibroblast(3.761), Endothelial(2.714)",1,44.8,2.201,1.556,Stroma,1.374,1.703,1.895,3.393
C1S,ENSG00000182326,IO,,Tumor;Complement,CAF/Adipo:complement_caf,CAF/Adipo,complement_caf,complement_caf,Adipocyte,"Adipocyte(4.061), CAF_Fibroblast(3.682), Endothelial(2.373)",1,43.2,2.117,1.368,Stroma,1.031,1.256,1.987,3.211
C2orf42,ENSG00000115998,Breast,B cells,,,,,,Myoepithelial,"Myoepithelial(0.386), Tumor(0.345), Plasma(0.217)",0,5.8,0.209,0.065,Epithelial,0.345,0.386,0.178,0.16
C5orf46,ENSG00000178776,Breast,Breast glandular cells,,,,,,Myoepithelial,"Myoepithelial(0.488), Tumor(0.408), CAF_Fibroblast(0.081)",0,3.5,0.128,0.055,Epithelial,0.408,0.488,0.038,0.066
C6orf132,ENSG00000188112,Breast,Breast myoepithelial cells,,,,,,Myoepithelial,"Myoepithelial(1.152), Tumor(1.079), Adipocyte(0.109)",0,8.5,0.284,0.133,Epithelial,1.079,1.152,0.05,0.079
CAV1,ENSG00000105974,Breast,Breast cancer,,CAF/Adipo:pericyte_mural,CAF/Adipo,pericyte_mural,Pericyte/mural,Endothelial,"Endothelial(3.838), Pericyte(3.511), Adipocyte(1.577)",1,22.7,1.04,0.544,Stroma,0.759,1.357,0.515,2.141
CAVIN2,ENSG00000168497,Breast,Adipocytes,,,,,,Endothelial,"Endothelial(0.823), Pericyte(0.703), Mast(0.448)",0,3.7,0.154,0.05,Stroma,0.072,0.128,0.072,0.357
CCDC6,ENSG00000108091,Breast,Breast glandular cells,,,,,,Myoepithelial,"Myoepithelial(3.575), Tumor(3.457), Dendritic(1.382)",0,36.7,1.601,1.155,Epithelial,3.457,3.575,1.108,1.054
CCDC80,ENSG00000091986,Breast,Fibroblasts,,CAF/Adipo:pan_CAF,CAF/Adipo,pan_CAF,,Adipocyte,"Adipocyte(4.294), CAF_Fibroblast(3.995), Mast(2.524)",1,38.8,1.972,1.429,Stroma,0.515,0.529,1.828,3.366
CCL13,ENSG00000181374,IO,,Cytokines & Growth Factors;Chemokine Ligand;Cytokine-Cytokine-Receptor Interaction,,,,,Macrophage_Mono,"Macrophage_Mono(0.283), Pericyte(0.195), Endothelial(0.188)",0,2.6,0.106,0.036,Stroma,0.061,0.068,0.117,0.122
CCL19,ENSG00000172724,IO,,Cytokines & Growth Factors;Chemokine Ligand;Cytokine-Cytokine-Receptor Interaction,Endothelial:hev_like; Myeloid/DC:mregDC,Endothelial; Myeloid/DC,hev_like; mregDC,mregDC; HEV-like,T_NK,"T_NK(1.639), B_cell(1.252), Pericyte(1.248)",2,17.0,0.848,0.505,Immune,0.111,0.112,1.223,0.791
CCL21,ENSG00000137077,IO,,Cytokines & Growth Factors;Chemokine Ligand;Cytokine-Cytokine-Receptor Interaction,Endothelial:hev_like,Endothelial,hev_like,HEV-like,Pericyte,"Pericyte(1.276), Endothelial(1.069), T_NK(0.572)",1,7.5,0.385,0.324,Stroma,0.058,0.059,0.422,0.577
CCL5,ENSG00000271503,Breast+IO,T cells,T Cell;Effector Memory;Resident Memory;Activated;Cytokines & Growth Factors;Chemokine Ligand;Cytokine-Cytokine-Receptor Interaction,Mast:effector_activation,Mast,effector_activation,,T_NK,"T_NK(1.96), Dendritic(0.674), Macrophage_Mono(0.604)",1,15.2,0.701,0.284,Immune,0.222,0.231,1.163,0.296
CCL7,ENSG00000108688,IO,,Cytokines & Growth Factors;Chemokine Ligand;Cytokine-Cytokine-Receptor Interaction,,,,,Macrophage_Mono,"Macrophage_Mono(0.13), Tumor(0.083), Myoepithelial(0.082)",0,1.6,0.061,0.021,Cancer,0.083,0.082,0.057,0.05
CCL8,ENSG00000108700,Breast+IO,Smooth muscle cells,Cytokines & Growth Factors;Chemokine Ligand;Cytokine-Cytokine-Receptor Interaction,,,,,Macrophage_Mono,"Macrophage_Mono(0.835), Endothelial(0.573), Pericyte(0.546)",0,6.6,0.292,0.131,Stroma,0.105,0.095,0.329,0.376
CCND1,ENSG00000110092,Breast+IO,Breast cancer,Epithelial Cell,,,,,Myoepithelial,"Myoepithelial(4.06), Tumor(3.894), Endothelial(1.993)",0,33.3,1.55,1.921,Epithelial,3.894,4.06,0.669,1.287
CCPG1,ENSG00000260916,Breast,B cells,,,,,,Plasma,"Plasma(1.938), Myoepithelial(1.797), Tumor(1.643)",0,29.3,1.181,0.479,Epithelial,1.643,1.797,1.017,1.129
CCR1,ENSG00000163823,IO,,C-C Motif Chemokine Receptor;M1;Macrophage;Cytokine Receptor;CD Molecule;Cytokine-Cytokine-Receptor Interaction,,,,,Macrophage_Mono,"Macrophage_Mono(2.015), Dendritic(1.245), T_NK(0.375)",0,11.0,0.466,0.179,Immune,0.205,0.2,0.718,0.247
CCR4,ENSG00000183813,IO,,C-C Motif Chemokine Receptor;M1;Macrophage;Cytokine Receptor;CD Molecule;Cytokine-Cytokine-Receptor Interaction,T/NK:treg; T/NK:th2,T/NK,th2; treg,Treg,T_NK,"T_NK(1.375), Dendritic(0.294), B_cell(0.286)",2,8.8,0.405,0.14,Immune,0.077,0.076,0.727,0.117
CCR5,ENSG00000160791,IO,,C-C Motif Chemokine Receptor;M1;Macrophage;Cytokine Receptor;CD Molecule;Cytokine-Cytokine-Receptor Interaction,,,,,Dendritic,"Dendritic(0.836), T_NK(0.721), Macrophage_Mono(0.689)",0,8.6,0.357,0.113,Immune,0.16,0.168,0.588,0.122
CCR7,ENSG00000126353,Breast+IO,T cells,T Cell;Naive;C-C Motif Chemokine Receptor;M1;Macrophage;Cytokine Receptor;CD Molecule;Cytokine-Cytokine-Receptor Interaction,T/NK:naive_memory; Myeloid/DC:mregDC,Myeloid/DC; T/NK,mregDC; naive_memory,naive_memory; mregDC,T_NK,"T_NK(1.712), B_cell(1.236), Dendritic(0.761)",2,13.9,0.646,0.241,Immune,0.153,0.162,1.161,0.161
CD14,ENSG00000170458,Breast+IO,Monocytes,Monocyte;Macrophage;M1;CD Molecule,Myeloid/DC:core_macrophage; Myeloid/DC:monocyte,Myeloid/DC,core_macrophage; monocyte,monocyte,Macrophage_Mono,"Macrophage_Mono(3.286), Dendritic(1.446), Tumor(0.634)",2,18.4,0.81,0.406,Immune,0.634,0.621,1.068,0.522
CD163,ENSG00000177575,Breast+IO,Macrophages,Macrophage;M2;CD Molecule,Myeloid/DC:macrophage_M2,Myeloid/DC,macrophage_M2,macrophage_M2,Macrophage_Mono,"Macrophage_Mono(3.19), Dendritic(1.461), T_NK(0.639)",1,14.7,0.684,0.34,Immune,0.166,0.135,1.077,0.426
CD19,ENSG00000177455,Breast+IO,B cells,B Cell;Proliferative;CD Molecule,B/Plasma:pan_B,B/Plasma,pan_B,,B_cell,"B_cell(1.939), Plasma(1.212), T_NK(0.118)",1,6.5,0.297,0.098,Immune,0.041,0.05,0.565,0.043
CD1A,ENSG00000158477,IO,,CD Molecule;Antigen Presentation;Dendritic Cell,Myeloid/DC:langerhans,Myeloid/DC,langerhans,langerhans,Dendritic,"Dendritic(0.262), B_cell(0.109), Tumor(0.08)",1,1.7,0.065,0.02,Cancer,0.08,0.069,0.079,0.032
CD1C,ENSG00000158481,IO,,CD Molecule;Antigen Presentation;Dendritic Cell,Myeloid/DC:cDC2,Myeloid/DC,cDC2,cDC2,Dendritic,"Dendritic(1.928), B_cell(0.764), Macrophage_Mono(0.575)",1,8.2,0.379,0.188,Immune,0.113,0.1,0.629,0.162
CD247,ENSG00000198821,Breast+IO,NK cells,Natural Killer Cell;CD Molecule,,,,,T_NK,"T_NK(2.165), B_cell(0.518), Dendritic(0.415)",0,13.8,0.636,0.215,Immune,0.139,0.149,1.146,0.161
CD27,ENSG00000139193,Breast+IO,B cells,B Cell;CD Molecule,T/NK:naive_memory; B/Plasma:memory_B,B/Plasma; T/NK,memory_B; naive_memory,naive_memory; memory_B,Plasma,"Plasma(1.003), B_cell(0.81), T_NK(0.788)",2,7.9,0.345,0.101,Immune,0.066,0.062,0.624,0.092
CD274,ENSG00000120217,Breast+IO,T cells,CD Molecule;Tumor;Checkpoint Inhibitor Target;Don't Eat Me,,,,,Mast,"Mast(0.424), Macrophage_Mono(0.41), Dendritic(0.324)",0,5.9,0.229,0.079,Immune,0.223,0.251,0.29,0.132
CD28,ENSG00000178562,IO,,T Cell;CD Molecule,T/NK:naive_memory,T/NK,naive_memory,naive_memory,T_NK,"T_NK(1.87), Macrophage_Mono(0.548), B_cell(0.402)",1,12.7,0.575,0.185,Immune,0.108,0.101,1.035,0.165
CD38,ENSG00000004468,IO,,Plasma Cell;CD Molecule,B/Plasma:plasma,B/Plasma,plasma,plasma,Plasma,"Plasma(2.031), B_cell(0.684), Dendritic(0.555)",1,8.2,0.347,0.133,Immune,0.112,0.094,0.599,0.108
CD3D,ENSG00000167286,IO,,T Cell;CD8+;Effector;CD Molecule,,,,,T_NK,"T_NK(1.984), B_cell(0.533), Plasma(0.432)",0,13.2,0.6,0.191,Immune,0.13,0.111,1.078,0.16
CD3E,ENSG00000198851,Breast+IO,T cells,CD Molecule;T Cell,,,,,T_NK,"T_NK(4.297), B_cell(1.565), Dendritic(1.343)",0,29.9,1.481,0.702,Immune,0.362,0.335,2.543,0.563
CD3G,ENSG00000160654,Breast,T cells,,,,,,T_NK,"T_NK(2.05), B_cell(0.566), Dendritic(0.457)",0,14.1,0.639,0.205,Immune,0.159,0.165,1.127,0.191
CD4,ENSG00000010610,Breast+IO,T cells,T Cell;CD4+;CD Molecule,T/NK:th1; T/NK:cd4_lineage,T/NK,cd4_lineage; th1,th1,Macrophage_Mono,"Macrophage_Mono(4.089), Dendritic(4.021), T_NK(2.855)",2,37.2,1.775,0.91,Immune,0.655,0.557,2.723,1.06
CD40LG,ENSG00000102245,IO,,CD Molecule;Immune Checkpoint,,,,,T_NK,"T_NK(0.512), B_cell(0.163), Plasma(0.121)",0,3.8,0.165,0.047,Immune,0.057,0.063,0.284,0.049
CD68,ENSG00000129226,Breast+IO,Macrophages,Macrophage;CD Molecule,Myeloid/DC:core_macrophage,Myeloid/DC,core_macrophage,,Macrophage_Mono,"Macrophage_Mono(3.653), Dendritic(2.09), T_NK(0.954)",1,23.1,1.035,0.512,Immune,0.522,0.411,1.468,0.719
CD69,ENSG00000110848,Breast,T cells,,T/NK:tissue_resident; Mast:effector_activation,Mast; T/NK,effector_activation; tissue_resident,tissue_resident,T_NK,"T_NK(1.262), Mast(1.022), B_cell(0.916)",2,11.3,0.508,0.166,Immune,0.105,0.101,0.912,0.14
CD79A,ENSG00000105369,Breast+IO,B cells,B Cell;Proliferative;Plasma Cell;CD Molecule,B/Plasma:pan_B,B/Plasma,pan_B,,B_cell,"B_cell(2.792), Plasma(2.786), T_NK(0.391)",1,11.5,0.541,0.204,Immune,0.045,0.041,1.015,0.127
CD79B,ENSG00000007312,Breast+IO,B cells,B Cell;Proliferative;CD Molecule,B/Plasma:pan_B,B/Plasma,pan_B,,B_cell,"B_cell(1.758), Plasma(1.039), T_NK(0.229)",1,7.3,0.327,0.1,Immune,0.071,0.084,0.573,0.111
CD80,ENSG00000121594,Breast+IO,Macrophages,Dendritic Cell;Myeloid;CD Molecule,Myeloid/DC:macrophage_M1,Myeloid/DC,macrophage_M1,macrophage_M1,Macrophage_Mono,"Macrophage_Mono(0.457), B_cell(0.2), T_NK(0.142)",1,3.0,0.12,0.039,Immune,0.059,0.05,0.198,0.038
CD83,ENSG00000112149,Breast+IO,Dendritic cells,B Cell;CD Molecule,B/Plasma:memory_B,B/Plasma,memory_B,memory_B,Macrophage_Mono,"Macrophage_Mono(1.688), B_cell(1.642), Dendritic(1.337)",1,16.3,0.734,0.341,Immune,0.342,0.331,1.196,0.26
CD86,ENSG00000114013,Breast+IO,Macrophages,Macrophage;M1;CD Molecule,Myeloid/DC:macrophage_M1,Myeloid/DC,macrophage_M1,macrophage_M1,Macrophage_Mono,"Macrophage_Mono(1.714), Dendritic(1.637), B_cell(0.553)",1,11.5,0.486,0.175,Immune,0.215,0.181,0.786,0.196
CD8A,ENSG00000153563,Breast+IO,T cells,T Cell;CD8+;Lineage Marker;CD Molecule,T/NK:cd8_lineage,T/NK,cd8_lineage,cd8_lineage,T_NK,"T_NK(1.997), Dendritic(0.707), Plasma(0.589)",1,15.1,0.717,0.358,Immune,0.268,0.294,1.174,0.298
CD8B,ENSG00000172116,IO,,T Cell;CD Molecule,T/NK:cd8_lineage,T/NK,cd8_lineage,cd8_lineage,T_NK,"T_NK(0.506), Myoepithelial(0.161), Dendritic(0.156)",1,4.8,0.199,0.058,Immune,0.132,0.161,0.292,0.092
CD9,ENSG00000010278,Breast,Breast glandular cells,,CAF/Adipo:preadipo; Mast:mast_core,CAF/Adipo; Mast,mast_core; preadipo,mast_core; preadipo,Myoepithelial,"Myoepithelial(3.217), Tumor(3.161), Adipocyte(1.934)",2,25.8,1.083,0.86,Epithelial,3.161,3.217,0.38,0.714
CD93,ENSG00000125810,Breast,Endothelial cells,,,,,,Endothelial,"Endothelial(4.104), Pericyte(3.204), Macrophage_Mono(1.554)",0,19.8,0.95,0.574,Stroma,0.29,0.278,0.734,1.838
CDC42EP1,ENSG00000128283,Breast,Breast glandular cells,,,,,,Tumor,"Tumor(0.783), Myoepithelial(0.694), Endothelial(0.374)",0,8.4,0.292,0.115,Cancer,0.783,0.694,0.091,0.271
CDH1,ENSG00000039068,Breast,Breast cancer,,Tumor:pan_epithelial,Tumor,pan_epithelial,,Myoepithelial,"Myoepithelial(4.143), Tumor(3.952), Macrophage_Mono(0.403)",1,22.7,1.058,1.593,Epithelial,3.952,4.143,0.263,0.218
CDKN1A,ENSG00000124762,IO,,Macrophage;Phagocytosis;Immune Escape;Tumorigenesis,Tumor:stress_g1arrest,Tumor,stress_g1arrest,,Endothelial,"Endothelial(1.845), Dendritic(1.548), Pericyte(1.54)",1,27.4,1.184,0.568,Stroma,1.354,1.207,0.965,1.459
CEACAM6,ENSG00000086548,Breast+IO,Breast cancer,Epithelial Cell,Tumor:cancer_specific,Tumor,cancer_specific,,Tumor,"Tumor(2.848), Myoepithelial(2.773), Macrophage_Mono(0.286)",1,16.2,0.766,1.949,Cancer,2.848,2.773,0.179,0.198
CEACAM8,ENSG00000124469,Breast+IO,Neutrophils,Tumor,,,,,Myoepithelial,"Myoepithelial(0.078), Tumor(0.061), Plasma(0.039)",0,1.1,0.041,0.012,Epithelial,0.061,0.078,0.036,0.031
CENPF,ENSG00000117724,Breast+IO,Breast cancer,Cell Cycle Progression,Tumor:proliferating; Myeloid/DC:proliferating; B/Plasma:proliferating; CAF/Adipo:proliferating; Mast:proliferating,B/Plasma; CAF/Adipo; Mast; Myeloid/DC; Tumor,proliferating,proliferating; Proliferating,Myoepithelial,"Myoepithelial(0.901), Tumor(0.778), Macrophage_Mono(0.203)",5,7.1,0.258,0.159,Epithelial,0.778,0.901,0.125,0.086
CHIT1,ENSG00000133063,IO,,Dendritic Cell,,,,,Macrophage_Mono,"Macrophage_Mono(0.672), Dendritic(0.206), Plasma(0.178)",0,3.5,0.151,0.128,Immune,0.11,0.111,0.221,0.065
CLEC10A,ENSG00000132514,IO,,Dendritic Cell;Myeloid,Myeloid/DC:cDC2,Myeloid/DC,cDC2,cDC2,Dendritic,"Dendritic(2.067), Macrophage_Mono(1.11), T_NK(0.318)",1,8.4,0.374,0.165,Immune,0.107,0.115,0.607,0.189
CLEC14A,ENSG00000176435,Breast,Adipocytes,,,,,,Endothelial,"Endothelial(2.35), Pericyte(1.445), Adipocyte(0.16)",0,8.0,0.363,0.171,Stroma,0.104,0.136,0.135,0.955
CLEC9A,ENSG00000197992,Breast,Dendritic cells,,Myeloid/DC:cDC1,Myeloid/DC,cDC1,cDC1,Dendritic,"Dendritic(0.496), Macrophage_Mono(0.116), Myoepithelial(0.081)",1,2.1,0.084,0.029,Immune,0.062,0.081,0.12,0.042
CLECL1,ENSG00000184293,Breast,B cells,,,,,,B_cell,"B_cell(0.613), Plasma(0.397), Dendritic(0.368)",0,4.9,0.201,0.057,Immune,0.101,0.11,0.33,0.059
CLIC6,ENSG00000159212,Breast,Breast glandular cells,,,,,,Tumor,"Tumor(0.321), Myoepithelial(0.259), Adipocyte(0.179)",0,4.3,0.158,0.061,Cancer,0.321,0.259,0.1,0.141
CMKLR1,ENSG00000174600,IO,,Angiogenesis,,,,,Macrophage_Mono,"Macrophage_Mono(0.986), Dendritic(0.565), Adipocyte(0.255)",0,5.8,0.239,0.077,Immune,0.089,0.071,0.324,0.216
CPA3,ENSG00000163751,Breast+IO,Mast cells,Mast Cell,Mast:mast_core,Mast,mast_core,mast_core,Mast,"Mast(4.772), Myoepithelial(0.259), Tumor(0.198)",1,4.5,0.2,0.132,Epithelial,0.198,0.259,0.255,0.107
CRISPLD2,ENSG00000103196,Breast,Smooth muscle cells,,,,,,Adipocyte,"Adipocyte(2.411), CAF_Fibroblast(2.232), Endothelial(1.874)",0,21.9,0.992,0.562,Stroma,0.465,0.542,0.581,2.108
CSF1,ENSG00000184371,IO,,Monocyte;Macrophage,Mast:effector_activation,Mast,effector_activation,,Mast,"Mast(1.031), Adipocyte(0.97), Endothelial(0.811)",1,13.2,0.533,0.197,Stroma,0.515,0.627,0.397,0.786
CSF1R,ENSG00000182578,IO,,Monocyte;Macrophage,Myeloid/DC:core_macrophage,Myeloid/DC,core_macrophage,,Macrophage_Mono,"Macrophage_Mono(2.826), Dendritic(1.814), T_NK(0.41)",1,13.4,0.59,0.248,Immune,0.24,0.207,0.92,0.313
CTH,ENSG00000116761,Breast,Smooth muscle cells,,,,,,Myoepithelial,"Myoepithelial(0.217), Tumor(0.194), Plasma(0.15)",0,2.9,0.102,0.033,Epithelial,0.194,0.217,0.073,0.082
CTLA4,ENSG00000163599,Breast+IO,T cells,T Cell;Regulatory;Exhausted;Checkpoint,T/NK:exhausted; T/NK:treg,T/NK,exhausted; treg,exhausted; Treg,T_NK,"T_NK(1.525), Dendritic(0.399), Macrophage_Mono(0.316)",2,10.1,0.47,0.203,Immune,0.11,0.112,0.819,0.161
CTSG,ENSG00000100448,Breast,Mast cells,,Mast:mast_core,Mast,mast_core,mast_core,Mast,"Mast(3.001), Plasma(0.064), Macrophage_Mono(0.064)",1,1.8,0.084,0.046,Immune,0.034,0.044,0.134,0.037
CTSL,ENSG00000135047,IO,,Metastasis,,,,,Macrophage_Mono,"Macrophage_Mono(2.708), Adipocyte(1.424), Dendritic(1.116)",0,23.3,0.982,0.519,Stroma,0.988,0.886,0.967,1.028
CTSS,ENSG00000163131,IO,,Tumor,Myeloid/DC:core_macrophage,Myeloid/DC,core_macrophage,,Macrophage_Mono,"Macrophage_Mono(3.94), Dendritic(3.296), Plasma(2.609)",1,37.6,1.747,0.906,Immune,0.795,0.642,2.575,1.111
CTTN,ENSG00000085733,Breast,Breast glandular cells,,,,,,Myoepithelial,"Myoepithelial(3.607), Tumor(3.427), Endothelial(2.47)",0,36.7,1.616,1.182,Epithelial,3.427,3.607,0.58,2.025
CX3CR1,ENSG00000168329,Breast+IO,Macrophages,T Cell;Cancer Stemness,,,,,Dendritic,"Dendritic(0.749), Macrophage_Mono(0.509), Myoepithelial(0.277)",0,5.5,0.222,0.074,Immune,0.211,0.277,0.283,0.126
